comer - yo, como
dar - tú, das
pagar - tú, pagas
hablar - ella, habla
preparar - ellos, preparan
comprar - yo, compro
cantar - nosotros, cantamos
salir - ella, sale
aprender - Ud., aprende
arreglar - tú, arreglas
preguntar - yo, pregunto
comer - nosotros, comemos
beber - ellos, beban
leer - tú, lees
decir - nosotros, decimos
dormir - nosotros, dormimos
vivir - él, vive
traer - tú, traes
tomar - Uds., toman
recibir - yo, recibo
enviar - nosotros, enviamos
buscar - nosotros, buscamos
comer - él, come
dar - ellas, dan
llevar - nosotros, llevamos
preparar - yo, preparo
aprender - yo, aprendo
preguntar - él, pregunta
leer - yo, leo
llevar - Uds., llevan
arreglar - tú, arreglas
recibir - ellos, reciben
salir - Uds., salen
robar - yo, robo
empujar - yo, empujo
calentar - nosotros, calentamos
quemar - él, quema
poner - nosotros, ponemos
duchar - yo, ducho
congelar - ellos, congelan
imprimir - nosotros, imprimimos
empujar - tú, empujas 
mentir - nosotros, mentimos
robar - tú, robas
hacer - tú, haces
congelar - yo, congelo
duchar - tú, duchas
poner - ella, pones
quemar - ella, quema
imprimir - yo, imprimo
